Week	Lessons	Topic	Comments
5	2	Introduction	-
6	2	Structural modelling, Class diagrams	-
7	2	idem	Hand-in question 1
8	-	-	-
9	2	Behavioral modelling, Behavioral state machines	-
10	2	idem	Hand-in question 2
11	-	-	-
12	2	Communication and sequence diagrams	-
13	-	-	-
14	2	idem	Hand-in question 3
15	2	Repetition	-

