Week	Lessons	Topic	Comments
37	10	Installing OS	(B-class)
38	10	Installing Service	(B-class)
39	10	Recreation	(B-class)
40	10	Installing OS	(A-class)
41	10	Installing Service	(A-class)
43	10	Recreation	(A-class)

