Week	Lessons	Topic	Comments
5	5	Introduction and recap	-
6	5	Structural modelling, Class diagrams	-
7	5	idem	-
8	-	-	-
9	5	Behavioral modelling, Behavioral state machines	-
10	5	idem	-
11	-	-	-
12	5	Communication and sequence diagrams	-
13	5	idem	-
14	5	idem	-
15	5	Repetition	-

