Week	Lessons	Topic	Comments
5	5	Introduction. Basic tools	Chapter 1
6	5	Managing software	Chapter 2
7	5	Hardware configuration	Chapter 3
8	-	-	-
9	5	Managing files	Chapter 4
10	5	Booting Linux and Editing Files	Chapter 5
11	-	-	-
12	5	The X Window System	Chapter 6
13	5	Administering the System	Chapter 7
14	5	Configuring Basic Networking	Chapter 8
15	5	Scripts, servers and security	Chapter 9+10

