Week	Lessons	Topic	Comments
45	4	Introductiona and startup	Initial presentation
46	4	Group work	Daily scrum
47	4	idem	Daily scrum, demo, status report
48	4	idem	Daily scrum, 
49	4	idem	Daily scrum, demo, status report
50	4	idem	Daily scrum, 
51	4	idem	Daily scrum, demo, status report
1	4	idem	Daily scrum
2	4	Project end	Final presentation, project hand-in, status report

