Week	Lessons	Topic	Comments
17	5	Introduction, Risk assessment	NIST 800-30 rev. 1
18	5	Intrusion detection system	Chapter 11
19	5	Wireless security	Chapter 10
20	5	Encryption of storage	.
21	5	PGP and emails	Chapter 14
22	-	-	Holiday
23	5	PKI and certificates	Chapter 5
24	5	Server services and SSL	Chapter 15
25	5	Authentication, autorization and accounting	Chapter 9

