Week	Lessons	Topic	Comments
16	2	Introduction	Chapter 2
17	2	Attacks, threads and mitigation	Chapters 3 and 17, NIST SP 800-30
18	2	idem	-
19	2	idem	Hand-in question 1
20	2	Securing infrastructure	Chapter 7, 8 and 11
21	2	idem	Hand-in question 2
22	2	AAA and RADIUS	Chapters 9
23	2	idem	-
24	2	idem	Hand-in question 3
