Week	Lessons	Topic	Comments
17	4	Introduction and startup	.
18	4	Group work	Status presentation
19	4	Group work	Status presentation
20	4	Group work	Status presentation
21	4	Group work	Status presentation
22	4	Group work	Status presentation
23	4	Group work	Status presentation
24	4	Group work	Status presentation
25	4	Project end	Final presentation, project hand-in
