Week	Lessons	Topic	Comments
44	4	Introduction	.
45	4	Defining projects	Stakeholders, requirements, background
46	4	Block diagrams (and a bit about network diagrams)	.
47	4	Project management 101	Iterations, scope and tasks
48	4	idem 	.
49	4	Use case diagrams	.
50	4	Activity diagrams	.
2	4	Sequence and communications diagrams	.
3	4	idem	.

